Epoca,ErroAproxTreino,ErroClassTreino,ErroAproxTeste,ErroClassTeste
112,43,4520,27,20,5952,17
113,43,4153,27,20,5728,17
114,43,3791,27,20,5506,17
115,43,3436,27,20,5288,17
116,43,3086,27,20,5074,17
117,43,2741,27,20,4862,17
118,43,2401,27,20,4654,17
119,43,2067,27,20,4449,17
120,43,1738,28,20,4247,17
121,43,1414,28,20,4048,17
122,43,1095,28,20,3852,17
123,43,0781,28,20,3658,17
124,43,0471,28,20,3468,17
125,43,0166,28,20,3280,17
126,42,9866,28,20,3094,17
127,42,9570,28,20,2911,17
128,42,9279,28,20,2731,17
129,42,8992,28,20,2553,17
130,42,8710,28,20,2378,17
131,42,8431,28,20,2205,17
132,42,8157,28,20,2034,17
133,42,7887,28,20,1866,17
134,42,7621,28,20,1700,17
135,42,7359,28,20,1536,17
136,42,7102,28,20,1374,17
137,42,6847,28,20,1214,17
138,42,6597,28,20,1056,17
139,42,6351,28,20,0900,17
140,42,6108,28,20,0746,17
141,42,5869,28,20,0594,17
142,42,5633,28,20,0444,17
143,42,5401,28,20,0296,17
144,42,5173,28,20,0150,17
145,42,4948,28,20,0005,17
146,42,4727,28,19,9863,17
147,42,4508,28,19,9722,17
148,42,4294,28,19,9582,17
149,42,4082,28,19,9444,17
150,42,3874,28,19,9308,17
151,42,3669,28,19,9174,17
152,42,3467,28,19,9041,17
153,42,3268,28,19,8909,17
154,42,3073,28,19,8780,17
155,42,2880,28,19,8651,18
156,42,2691,28,19,8524,18
157,42,2504,28,19,8399,18
158,42,2321,28,19,8275,18
159,42,2140,28,19,8152,18
160,42,1962,28,19,8031,18
161,42,1788,28,19,7911,18
162,42,1615,28,19,7792,18
163,42,1446,28,19,7675,18
164,42,1280,28,19,7559,18
165,42,1116,28,19,7444,18
166,42,0955,28,19,7331,18
167,42,0797,28,19,7218,18
168,42,0641,28,19,7107,18
169,42,0488,28,19,6998,18
170,42,0337,28,19,6889,18
171,42,0189,28,19,6781,18
172,42,0044,28,19,6675,18
173,41,9901,28,19,6570,18
174,41,9761,28,19,6466,18
175,41,9623,28,19,6362,18
176,41,9487,28,19,6260,18
177,41,9354,28,19,6160,18
178,41,9224,28,19,6060,18
179,41,9095,28,19,5961,18
180,41,8969,28,19,5863,18
181,41,8846,28,19,5766,18
182,41,8724,28,19,5670,18
183,41,8605,28,19,5575,18
184,41,8489,28,19,5481,18
185,41,8374,28,19,5388,18
186,41,8262,28,19,5296,18
187,41,8152,28,19,5204,18
188,41,8044,28,19,5114,18
189,41,7938,28,19,5024,18
190,41,7834,28,19,4936,18
191,41,7732,28,19,4848,17
192,41,7633,28,19,4761,17
193,41,7535,28,19,4674,17
194,41,7440,28,19,4589,17
195,41,7346,28,19,4504,17
196,41,7255,28,19,4420,17
197,41,7165,27,19,4337,17
198,41,7078,27,19,4255,17
199,41,6992,27,19,4173,17
200,41,6908,27,19,4092,17
201,41,6826,27,19,4012,18
202,41,6746,27,19,3932,18
203,41,6668,27,19,3853,18
204,41,6591,27,19,3774,18
205,41,6516,27,19,3697,18
206,41,6443,27,19,3620,18
207,41,6372,27,19,3543,18
208,41,6302,27,19,3467,18
209,41,6234,27,19,3392,18
210,41,6167,27,19,3317,18
211,41,6102,27,19,3242,18
212,41,6039,27,19,3169,18
213,41,5977,27,19,3095,18
214,41,5917,27,19,3022,18
215,41,5858,27,19,2950,18
216,41,5801,27,19,2878,18
217,41,5745,27,19,2807,18
218,41,5690,27,19,2736,18
219,41,5637,27,19,2665,18
220,41,5585,27,19,2595,18
221,41,5534,27,19,2525,18
222,41,5485,27,19,2456,18
